[columnnames]
sats,time,lat,long,velocity,heading,height,FixType,accelX,accelY,accelZ,accelSqrt,gyroX,gyroY,gyroZ,magX,magY,magZ,mDirection,Time_ms


[data]
016,041700.00,797.815764,-6054.254748,0.097,58.299,5.923,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.05,797.815764,-6054.254748,0.097,58.299,5.923,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.10,797.815758,-6054.254754,0.022,58.299,5.927,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.15,797.815758,-6054.254754,0.094,58.299,5.943,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.20,797.815758,-6054.254754,0.065,58.299,5.939,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.25,797.815758,-6054.254754,0.079,58.299,5.939,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.30,797.815758,-6054.254754,0.162,58.299,5.940,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.35,797.815758,-6054.254754,0.122,58.299,5.941,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.40,797.815758,-6054.254760,0.169,58.299,5.941,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.45,797.815758,-6054.254760,0.130,58.299,5.956,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.50,797.815752,-6054.254760,0.119,58.299,5.957,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.55,797.815758,-6054.254760,0.126,58.299,5.957,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.60,797.815758,-6054.254760,0.176,58.299,5.944,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.65,797.815752,-6054.254766,0.054,58.299,5.947,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.70,797.815758,-6054.254766,0.047,58.299,5.969,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.75,797.815758,-6054.254766,0.119,58.299,5.967,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.80,797.815758,-6054.254772,0.119,58.299,5.959,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.85,797.815752,-6054.254772,0.277,58.299,5.975,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.90,797.815752,-6054.254778,0.202,58.299,5.967,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041700.95,797.815752,-6054.254778,0.130,58.299,5.946,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041701.00,797.815752,-6054.254778,0.126,58.299,5.947,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041701.05,797.815752,-6054.254778,0.212,58.299,5.963,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041701.10,797.815752,-6054.254778,0.058,58.299,5.958,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041701.15,797.815752,-6054.254778,0.032,58.299,5.963,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041701.20,797.815752,-6054.254778,0.270,58.299,5.954,3,0,0,0,0,0,0,0,0,0,0,0,0
016,041701.25,797.815752,-6054.254778,0.320,58.299,5.959,3,0,0,0,0,0,0,0,0,0,0,0,0
